Filename,Predictions
100675.png,deer
100676.png,horse
100677.png,frog
100678.png,truck
100679.png,dog
10068.png,dog
100680.png,deer
100681.png,deer
100682.png,bird
100683.png,frog
100684.png,frog
100685.png,automobile
100686.png,bird
100687.png,deer
100688.png,truck
100689.png,ship
10069.png,automobile
100690.png,deer
100691.png,deer
100692.png,cat
100693.png,cat
100694.png,truck
100695.png,frog
100696.png,dog
100697.png,ship
100698.png,cat
100699.png,frog
1007.png,ship
10070.png,cat
100700.png,truck
100701.png,bird
100702.png,airplane
100703.png,truck
100704.png,airplane
100705.png,dog
100706.png,dog
100707.png,dog
100708.png,deer
100709.png,cat
10071.png,deer
100710.png,deer
100711.png,automobile
100712.png,dog
100713.png,cat
100714.png,frog
100715.png,bird
100716.png,deer
100717.png,truck
100718.png,dog
100719.png,cat
10072.png,ship
100720.png,airplane
100721.png,ship
100722.png,ship
100723.png,frog
100724.png,dog
100725.png,frog
100726.png,deer
100727.png,automobile
100728.png,frog
100729.png,deer
10073.png,dog
100730.png,airplane
100731.png,dog
100732.png,frog
100733.png,cat
100734.png,automobile
100735.png,bird
100736.png,cat
100737.png,cat
100738.png,cat
100739.png,automobile
10074.png,deer
100740.png,cat
100741.png,dog
100742.png,deer
100743.png,airplane
100744.png,cat
100745.png,ship
100746.png,bird
100747.png,truck
100748.png,truck
100749.png,bird
10075.png,deer
100750.png,dog
100751.png,ship
100752.png,bird
100753.png,truck
100754.png,cat
100755.png,automobile
100756.png,dog
100757.png,deer
100758.png,cat
100759.png,cat
10076.png,deer
100760.png,airplane
100761.png,cat
100762.png,deer
100763.png,airplane
100764.png,cat
100765.png,dog
100766.png,automobile
100767.png,truck
100768.png,cat
100769.png,dog
10077.png,dog
100770.png,truck
100771.png,truck
100772.png,bird
100773.png,cat
100774.png,cat
100775.png,dog
100776.png,bird
100777.png,bird
100778.png,truck
100779.png,ship
10078.png,cat
100780.png,deer
100781.png,dog
100782.png,dog
100783.png,truck
100784.png,deer
100785.png,dog
100786.png,bird
100787.png,bird
100788.png,bird
100789.png,horse
10079.png,cat
100790.png,cat
100791.png,truck
100792.png,bird
100793.png,automobile
100794.png,dog
100795.png,deer
100796.png,ship
100797.png,cat
100798.png,cat
100799.png,dog
1008.png,automobile
10080.png,ship
100800.png,ship
100801.png,frog
100802.png,bird
100803.png,deer
100804.png,ship
100805.png,dog
100806.png,horse
100807.png,bird
100808.png,deer
100809.png,frog
10081.png,automobile
100810.png,dog
100811.png,cat
100812.png,airplane
100813.png,airplane
100814.png,frog
100815.png,dog
100816.png,dog
100817.png,deer
100818.png,automobile
100819.png,dog
10082.png,deer
100820.png,cat
100821.png,airplane
100822.png,automobile
100823.png,cat
100824.png,bird
100825.png,dog
100826.png,deer
100827.png,cat
100828.png,dog
100829.png,dog
10083.png,horse
100830.png,deer
100831.png,bird
100832.png,deer
100833.png,cat
100834.png,cat
100835.png,dog
100836.png,ship
100837.png,deer
100838.png,airplane
100839.png,ship
10084.png,cat
100840.png,truck
100841.png,deer
100842.png,bird
100843.png,horse
100844.png,dog
100845.png,bird
100846.png,airplane
100847.png,frog
100848.png,deer
100849.png,bird
10085.png,ship
100850.png,cat
100851.png,cat
100852.png,bird
100853.png,bird
100854.png,truck
100855.png,deer
100856.png,cat
100857.png,cat
100858.png,ship
100859.png,cat
10086.png,automobile
100860.png,deer
100861.png,airplane
100862.png,bird
100863.png,frog
100864.png,cat
100865.png,cat
100866.png,deer
100867.png,bird
100868.png,dog
100869.png,truck
10087.png,ship
100870.png,automobile
100871.png,deer
100872.png,dog
100873.png,cat
100874.png,airplane
100875.png,cat
100876.png,cat
100877.png,automobile
100878.png,truck
100879.png,truck
10088.png,frog
100880.png,airplane
100881.png,truck
100882.png,automobile
100883.png,truck
100884.png,cat
100885.png,cat
100886.png,deer
100887.png,cat
100888.png,ship
100889.png,truck
10089.png,ship
100890.png,deer
100891.png,bird
100892.png,dog
100893.png,automobile
100894.png,deer
100895.png,dog
100896.png,frog
100897.png,deer
100898.png,cat
100899.png,truck
1009.png,automobile
10090.png,cat
100900.png,ship
100901.png,cat
100902.png,dog
100903.png,cat
100904.png,bird
100905.png,bird
100906.png,deer
100907.png,truck
100908.png,deer
100909.png,cat
10091.png,deer
100910.png,airplane
100911.png,frog
100912.png,bird
100913.png,ship
100914.png,cat
100915.png,dog
100916.png,bird
100917.png,truck
100918.png,bird
100919.png,deer
10092.png,deer
100920.png,dog
100921.png,dog
100922.png,airplane
100923.png,cat
100924.png,bird
100925.png,dog
100926.png,airplane
100927.png,dog
100928.png,bird
100929.png,ship
10093.png,deer
100930.png,cat
100931.png,cat
100932.png,truck
100933.png,ship
100934.png,cat
100935.png,bird
100936.png,horse
100937.png,ship
100938.png,automobile
100939.png,horse
10094.png,cat
100940.png,deer
100941.png,truck
100942.png,truck
100943.png,automobile
100944.png,automobile
100945.png,automobile
100946.png,truck
100947.png,cat
100948.png,deer
100949.png,truck
10095.png,bird
100950.png,ship
100951.png,automobile
100952.png,automobile
100953.png,truck
100954.png,ship
100955.png,dog
100956.png,frog
100957.png,deer
100958.png,frog
100959.png,frog
10096.png,bird
100960.png,dog
100961.png,dog
100962.png,bird
100963.png,truck
100964.png,deer
100965.png,truck
100966.png,dog
100967.png,deer
100968.png,automobile
100969.png,cat
10097.png,cat
100970.png,ship
100971.png,automobile
100972.png,bird
100973.png,cat
100974.png,airplane
100975.png,cat
100976.png,ship
100977.png,bird
100978.png,automobile
100979.png,automobile
10098.png,airplane
100980.png,truck
100981.png,airplane
100982.png,truck
100983.png,cat
100984.png,horse
100985.png,automobile
100986.png,deer
100987.png,automobile
100988.png,bird
100989.png,horse
10099.png,bird
100990.png,deer
100991.png,ship
100992.png,truck
100993.png,bird
100994.png,automobile
100995.png,truck
100996.png,bird
100997.png,truck
100998.png,cat
100999.png,airplane
101.png,deer
1010.png,cat
10100.png,deer
101000.png,deer
101001.png,bird
101002.png,truck
101003.png,automobile
101004.png,cat
101005.png,deer
101006.png,automobile
101007.png,dog
101008.png,ship
101009.png,deer
10101.png,dog
101010.png,ship
101011.png,cat
101012.png,cat
101013.png,cat
101014.png,horse
101015.png,bird
101016.png,ship
101017.png,truck
101018.png,deer
101019.png,airplane
10102.png,truck
101020.png,dog
101021.png,automobile
101022.png,truck
101023.png,cat
101024.png,deer
101025.png,deer
101026.png,deer
101027.png,airplane
101028.png,dog
101029.png,ship
10103.png,ship
101030.png,dog
101031.png,airplane
101032.png,bird
101033.png,bird
101034.png,bird
101035.png,truck
101036.png,bird
101037.png,deer
101038.png,dog
101039.png,bird
10104.png,bird
101040.png,bird
101041.png,truck
101042.png,cat
101043.png,automobile
101044.png,cat
101045.png,automobile
101046.png,cat
101047.png,truck
101048.png,dog
101049.png,deer
10105.png,deer
101050.png,bird
101051.png,ship
101052.png,frog
101053.png,bird
101054.png,cat
101055.png,cat
101056.png,bird
101057.png,cat
101058.png,dog
101059.png,bird
10106.png,cat
101060.png,truck
101061.png,cat
101062.png,cat
101063.png,deer
101064.png,deer
101065.png,bird
101066.png,truck
101067.png,cat
101068.png,ship
101069.png,bird
10107.png,truck
101070.png,bird
101071.png,cat
101072.png,truck
101073.png,cat
101074.png,cat
101075.png,truck
101076.png,automobile
101077.png,automobile
101078.png,frog
101079.png,deer
10108.png,automobile
101080.png,cat
101081.png,frog
101082.png,cat
101083.png,truck
101084.png,cat
101085.png,cat
101086.png,cat
101087.png,frog
101088.png,cat
101089.png,ship
10109.png,bird
101090.png,truck
101091.png,bird
101092.png,dog
101093.png,bird
101094.png,automobile
101095.png,deer
101096.png,dog
101097.png,dog
101098.png,cat
101099.png,ship
1011.png,truck
10110.png,cat
101100.png,deer
101101.png,deer
101102.png,cat
101103.png,truck
101104.png,truck
101105.png,ship
101106.png,cat
101107.png,cat
101108.png,dog
101109.png,ship
10111.png,truck
101110.png,truck
101111.png,truck
101112.png,frog
101113.png,dog
101114.png,cat
101115.png,dog
101116.png,truck
101117.png,cat
101118.png,cat
101119.png,ship
10112.png,ship
101120.png,truck
101121.png,dog
101122.png,bird
101123.png,truck
101124.png,cat
101125.png,deer
101126.png,cat
101127.png,automobile
101128.png,deer
101129.png,cat
10113.png,dog
101130.png,airplane
101131.png,cat
101132.png,bird
101133.png,deer
101134.png,dog
101135.png,bird
101136.png,truck
101137.png,truck
101138.png,cat
101139.png,cat
10114.png,horse
101140.png,airplane
101141.png,cat
101142.png,cat
101143.png,cat
101144.png,dog
101145.png,ship
101146.png,dog
101147.png,cat
101148.png,deer
101149.png,deer
10115.png,deer
101150.png,cat
101151.png,cat
101152.png,ship
101153.png,deer
101154.png,truck
101155.png,frog
101156.png,cat
101157.png,cat
101158.png,truck
101159.png,dog
10116.png,deer
101160.png,deer
101161.png,automobile
101162.png,ship
101163.png,ship
101164.png,deer
101165.png,bird
101166.png,deer
101167.png,frog
101168.png,truck
101169.png,cat
10117.png,frog
101170.png,dog
101171.png,automobile
101172.png,automobile
101173.png,cat
101174.png,frog
101175.png,truck
101176.png,deer
101177.png,bird
101178.png,truck
101179.png,dog
10118.png,dog
101180.png,ship
101181.png,deer
101182.png,dog
101183.png,truck
101184.png,cat
101185.png,dog
101186.png,ship
101187.png,automobile
101188.png,bird
101189.png,bird
10119.png,truck
101190.png,truck
101191.png,cat
101192.png,deer
101193.png,bird
101194.png,truck
101195.png,ship
101196.png,cat
101197.png,ship
101198.png,dog
101199.png,dog
1012.png,cat
10120.png,dog
101200.png,truck
101201.png,airplane
101202.png,airplane
101203.png,dog
101204.png,cat
101205.png,cat
101206.png,horse
101207.png,cat
101208.png,airplane
101209.png,dog
10121.png,ship
101210.png,cat
101211.png,airplane
101212.png,frog
101213.png,automobile
101214.png,cat
101215.png,cat
101216.png,truck
101217.png,truck
101218.png,frog
101219.png,bird
10122.png,truck
101220.png,truck
101221.png,ship
101222.png,airplane
101223.png,dog
101224.png,airplane
101225.png,ship
101226.png,deer
101227.png,airplane
101228.png,bird
101229.png,cat
10123.png,ship
101230.png,dog
101231.png,truck
101232.png,truck
101233.png,deer
101234.png,truck
101235.png,cat
101236.png,cat
101237.png,cat
101238.png,dog
101239.png,bird
10124.png,truck
101240.png,deer
101241.png,dog
101242.png,cat
101243.png,deer
101244.png,cat
101245.png,cat
101246.png,deer
101247.png,dog
101248.png,deer
101249.png,cat
10125.png,dog
101250.png,cat
101251.png,cat
101252.png,deer
101253.png,cat
101254.png,bird
101255.png,airplane
101256.png,automobile
101257.png,truck
101258.png,airplane
101259.png,dog
10126.png,cat
101260.png,bird
101261.png,deer
101262.png,truck
101263.png,cat
101264.png,dog
101265.png,frog
101266.png,frog
101267.png,frog
101268.png,dog
101269.png,deer
10127.png,cat
101270.png,deer
101271.png,dog
101272.png,airplane
101273.png,dog
101274.png,cat
101275.png,automobile
101276.png,dog
101277.png,bird
101278.png,cat
101279.png,bird
10128.png,cat
101280.png,truck
101281.png,airplane
101282.png,airplane
101283.png,bird
101284.png,airplane
101285.png,truck
101286.png,bird
101287.png,frog
101288.png,cat
101289.png,dog
10129.png,truck
101290.png,cat
101291.png,truck
101292.png,bird
101293.png,dog
101294.png,cat
101295.png,cat
101296.png,deer
101297.png,cat
101298.png,dog
101299.png,cat
1013.png,automobile
10130.png,bird
101300.png,truck
101301.png,frog
101302.png,frog
101303.png,bird
101304.png,ship
101305.png,cat
101306.png,cat
101307.png,airplane
101308.png,deer
101309.png,cat
10131.png,truck
101310.png,dog
101311.png,ship
101312.png,cat
101313.png,ship
101314.png,ship
101315.png,deer
101316.png,airplane
101317.png,cat
101318.png,automobile
101319.png,cat
10132.png,deer
101320.png,ship
101321.png,bird
101322.png,airplane
101323.png,deer
101324.png,cat
101325.png,airplane
101326.png,cat
101327.png,cat
101328.png,ship
101329.png,frog
10133.png,bird
101330.png,ship
101331.png,automobile
101332.png,dog
101333.png,cat
101334.png,cat
101335.png,ship
101336.png,cat
101337.png,deer
101338.png,bird
101339.png,cat
10134.png,deer
101340.png,automobile
101341.png,deer
101342.png,cat
101343.png,cat
101344.png,cat
101345.png,automobile
101346.png,truck
101347.png,ship
101348.png,ship
101349.png,dog
10135.png,ship
101350.png,bird
101351.png,truck
101352.png,dog
101353.png,deer
101354.png,deer
101355.png,deer
101356.png,ship
101357.png,ship
101358.png,truck
101359.png,cat
10136.png,truck
101360.png,cat
101361.png,dog
101362.png,deer
101363.png,dog
101364.png,cat
101365.png,cat
101366.png,truck
101367.png,airplane
101368.png,cat
101369.png,airplane
10137.png,deer
101370.png,cat
101371.png,ship
101372.png,cat
101373.png,deer
101374.png,cat
101375.png,ship
101376.png,truck
101377.png,airplane
101378.png,airplane
101379.png,dog
10138.png,truck
101380.png,cat
101381.png,airplane
101382.png,ship
101383.png,cat
101384.png,cat
101385.png,cat
101386.png,bird
101387.png,frog
101388.png,cat
101389.png,ship
10139.png,automobile
101390.png,deer
101391.png,truck
101392.png,cat
101393.png,truck
101394.png,deer
101395.png,cat
101396.png,horse
101397.png,ship
101398.png,cat
101399.png,cat
1014.png,airplane
10140.png,cat
101400.png,cat
101401.png,deer
101402.png,cat
101403.png,frog
101404.png,dog
101405.png,deer
101406.png,dog
101407.png,ship
101408.png,horse
101409.png,bird
10141.png,automobile
101410.png,ship
101411.png,frog
101412.png,cat
101413.png,automobile
101414.png,dog
101415.png,dog
101416.png,cat
101417.png,dog
101418.png,truck
101419.png,ship
10142.png,truck
101420.png,automobile
101421.png,truck
101422.png,deer
101423.png,truck
101424.png,automobile
101425.png,deer
101426.png,bird
101427.png,cat
101428.png,bird
101429.png,bird
10143.png,deer
101430.png,deer
101431.png,frog
101432.png,dog
101433.png,cat
101434.png,cat
101435.png,truck
101436.png,truck
101437.png,bird
101438.png,ship
101439.png,truck
10144.png,automobile
101440.png,truck
101441.png,bird
101442.png,deer
101443.png,ship
101444.png,deer
101445.png,frog
101446.png,airplane
101447.png,ship
101448.png,ship
101449.png,ship
10145.png,frog
101450.png,cat
101451.png,frog
101452.png,cat
101453.png,airplane
101454.png,frog
101455.png,horse
101456.png,automobile
101457.png,ship
101458.png,ship
101459.png,bird
10146.png,bird
101460.png,automobile
101461.png,deer
101462.png,ship
101463.png,frog
101464.png,bird
101465.png,deer
101466.png,cat
101467.png,dog
101468.png,cat
101469.png,cat
10147.png,truck
101470.png,cat
101471.png,automobile
101472.png,bird
101473.png,ship
101474.png,deer
101475.png,deer
101476.png,cat
101477.png,cat
101478.png,bird
101479.png,cat
10148.png,airplane
101480.png,bird
101481.png,ship
101482.png,cat
101483.png,frog
101484.png,dog
101485.png,dog
101486.png,dog
101487.png,ship
101488.png,horse
101489.png,frog
10149.png,deer
101490.png,deer
101491.png,airplane
101492.png,bird
101493.png,deer
101494.png,truck
101495.png,dog
101496.png,dog
101497.png,bird
101498.png,bird
101499.png,bird
1015.png,bird
10150.png,frog
101500.png,deer
101501.png,ship
101502.png,cat
101503.png,deer
101504.png,airplane
101505.png,truck
101506.png,deer
101507.png,cat
101508.png,truck
101509.png,dog
10151.png,airplane
101510.png,cat
101511.png,frog
101512.png,truck
101513.png,cat
101514.png,frog
101515.png,bird
101516.png,deer
101517.png,horse
101518.png,cat
101519.png,dog
10152.png,truck
101520.png,ship
101521.png,cat
101522.png,ship
101523.png,ship
101524.png,deer
101525.png,truck
101526.png,deer
101527.png,frog
101528.png,bird
101529.png,frog
10153.png,truck
101530.png,cat
101531.png,deer
101532.png,automobile
101533.png,deer
101534.png,airplane
101535.png,automobile
101536.png,frog
101537.png,cat
101538.png,automobile
101539.png,deer
10154.png,ship
101540.png,cat
101541.png,cat
